,model,img_path,target,model_answ,question,is_num
0,gemma3:12b,C:\Users\Admin\Diplom\target_dt\dog_attributes\bone\bone_1.jpg,DOG,1,How much do you think that the image is related to a CAT?,1
1,mistral-small3.1:latest,C:\Users\Admin\Diplom\target_dt\dog_attributes\bone\bone_1.jpg,DOG,0,How much do you think that the image is related to a CAT?,1
2,qwen2.5vl:7b,C:\Users\Admin\Diplom\target_dt\dog_attributes\bone\bone_1.jpg,DOG,0,How much do you think that the image is related to a CAT?,1
3,mistral-small3.2:24b,C:\Users\Admin\Diplom\target_dt\dog_attributes\bone\bone_1.jpg,DOG,0,How much do you think that the image is related to a CAT?,1
4,qwen3-vl:32b,C:\Users\Admin\Diplom\target_dt\dog_attributes\bone\bone_1.jpg,DOG,10,How much do you think that the image is related to a CAT?,1
5,qwen3-vl:30b,C:\Users\Admin\Diplom\target_dt\dog_attributes\bone\bone_1.jpg,DOG,0,How much do you think that the image is related to a CAT?,1
6,blaifa/InternVL3_5:8b,C:\Users\Admin\Diplom\target_dt\dog_attributes\bone\bone_1.jpg,DOG,0,How much do you think that the image is related to a CAT?,1
7,ebdm/gemma3-enhanced:12b,C:\Users\Admin\Diplom\target_dt\dog_attributes\bone\bone_1.jpg,DOG,1,How much do you think that the image is related to a CAT?,1
8,internlm/interns1:mini,C:\Users\Admin\Diplom\target_dt\dog_attributes\bone\bone_1.jpg,DOG,0,How much do you think that the image is related to a CAT?,1
10,llama3.2-vision:latest,C:\Users\Admin\Diplom\target_dt\dog_attributes\bone\bone_1.jpg,DOG,0,How much do you think that the image is related to a CAT?,1
11,gemma3:27b,C:\Users\Admin\Diplom\target_dt\dog_attributes\bone\bone_1.jpg,DOG,10,How much do you think that the image is related to a CAT?,1
12,gemma3:12b,C:\Users\Admin\Diplom\target_dt\dog_attributes\bone\bone_10.jpg,DOG,3,How much do you think that the image is related to a CAT?,1
13,mistral-small3.1:latest,C:\Users\Admin\Diplom\target_dt\dog_attributes\bone\bone_10.jpg,DOG,0,How much do you think that the image is related to a CAT?,1
14,qwen2.5vl:7b,C:\Users\Admin\Diplom\target_dt\dog_attributes\bone\bone_10.jpg,DOG,0,How much do you think that the image is related to a CAT?,1
16,qwen3-vl:32b,C:\Users\Admin\Diplom\target_dt\dog_attributes\bone\bone_10.jpg,DOG,0,How much do you think that the image is related to a CAT?,1
