,model,img_path,target,model_answ,question,is_num
0,gemma3:12b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_1\cat_and_dog_1_bone.jpg,CAT AND DOG,50,How much do you think that the image is related to a CAT?,1
1,mistral-small3.1:latest,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_1\cat_and_dog_1_bone.jpg,CAT AND DOG,50,How much do you think that the image is related to a CAT?,1
2,qwen2.5vl:7b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_1\cat_and_dog_1_bone.jpg,CAT AND DOG,20,How much do you think that the image is related to a CAT?,1
3,mistral-small3.2:24b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_1\cat_and_dog_1_bone.jpg,CAT AND DOG,50,How much do you think that the image is related to a CAT?,1
4,qwen3-vl:32b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_1\cat_and_dog_1_bone.jpg,CAT AND DOG,50,How much do you think that the image is related to a CAT?,1
5,qwen3-vl:30b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_1\cat_and_dog_1_bone.jpg,CAT AND DOG,50,How much do you think that the image is related to a CAT?,1
6,blaifa/InternVL3_5:8b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_1\cat_and_dog_1_bone.jpg,CAT AND DOG,50,How much do you think that the image is related to a CAT?,1
7,ebdm/gemma3-enhanced:12b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_1\cat_and_dog_1_bone.jpg,CAT AND DOG,50,How much do you think that the image is related to a CAT?,1
8,internlm/interns1:mini,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_1\cat_and_dog_1_bone.jpg,CAT AND DOG,52,How much do you think that the image is related to a CAT?,1
9,gemma3:latest,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_1\cat_and_dog_1_bone.jpg,CAT AND DOG,75,How much do you think that the image is related to a CAT?,1
10,llama3.2-vision:latest,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_1\cat_and_dog_1_bone.jpg,CAT AND DOG,0,How much do you think that the image is related to a CAT?,1
11,gemma3:27b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_1\cat_and_dog_1_bone.jpg,CAT AND DOG,50,How much do you think that the image is related to a CAT?,1
12,gemma3:12b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_10\cat_and_dog_10_bone.jpg,CAT AND DOG,35,How much do you think that the image is related to a CAT?,1
13,mistral-small3.1:latest,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_10\cat_and_dog_10_bone.jpg,CAT AND DOG,70,How much do you think that the image is related to a CAT?,1
14,qwen2.5vl:7b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_10\cat_and_dog_10_bone.jpg,CAT AND DOG,60,How much do you think that the image is related to a CAT?,1
15,mistral-small3.2:24b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_10\cat_and_dog_10_bone.jpg,CAT AND DOG,70,How much do you think that the image is related to a CAT?,1
16,qwen3-vl:32b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_10\cat_and_dog_10_bone.jpg,CAT AND DOG,60,How much do you think that the image is related to a CAT?,1
17,qwen3-vl:30b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_10\cat_and_dog_10_bone.jpg,CAT AND DOG,50,How much do you think that the image is related to a CAT?,1
18,blaifa/InternVL3_5:8b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_10\cat_and_dog_10_bone.jpg,CAT AND DOG,60,How much do you think that the image is related to a CAT?,1
19,ebdm/gemma3-enhanced:12b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_10\cat_and_dog_10_bone.jpg,CAT AND DOG,45,How much do you think that the image is related to a CAT?,1
20,internlm/interns1:mini,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_10\cat_and_dog_10_bone.jpg,CAT AND DOG,52,How much do you think that the image is related to a CAT?,1
21,gemma3:latest,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_10\cat_and_dog_10_bone.jpg,CAT AND DOG,30,How much do you think that the image is related to a CAT?,1
22,llama3.2-vision:latest,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_10\cat_and_dog_10_bone.jpg,CAT AND DOG,0,How much do you think that the image is related to a CAT?,1
23,gemma3:27b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_10\cat_and_dog_10_bone.jpg,CAT AND DOG,40,How much do you think that the image is related to a CAT?,1
24,gemma3:12b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_100\cat_and_dog_100_bone.jpg,CAT AND DOG,40,How much do you think that the image is related to a CAT?,1
25,mistral-small3.1:latest,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_100\cat_and_dog_100_bone.jpg,CAT AND DOG,80,How much do you think that the image is related to a CAT?,1
26,qwen2.5vl:7b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_100\cat_and_dog_100_bone.jpg,CAT AND DOG,70,How much do you think that the image is related to a CAT?,1
27,mistral-small3.2:24b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_100\cat_and_dog_100_bone.jpg,CAT AND DOG,70,How much do you think that the image is related to a CAT?,1
28,qwen3-vl:32b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_100\cat_and_dog_100_bone.jpg,CAT AND DOG,75,How much do you think that the image is related to a CAT?,1
29,qwen3-vl:30b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_100\cat_and_dog_100_bone.jpg,CAT AND DOG,80,How much do you think that the image is related to a CAT?,1
30,blaifa/InternVL3_5:8b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_100\cat_and_dog_100_bone.jpg,CAT AND DOG,50,How much do you think that the image is related to a CAT?,1
31,ebdm/gemma3-enhanced:12b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_100\cat_and_dog_100_bone.jpg,CAT AND DOG,60,How much do you think that the image is related to a CAT?,1
32,internlm/interns1:mini,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_100\cat_and_dog_100_bone.jpg,CAT AND DOG,52,How much do you think that the image is related to a CAT?,1
33,gemma3:latest,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_100\cat_and_dog_100_bone.jpg,CAT AND DOG,10,How much do you think that the image is related to a CAT?,1
34,llama3.2-vision:latest,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_100\cat_and_dog_100_bone.jpg,CAT AND DOG,0,How much do you think that the image is related to a CAT?,1
35,gemma3:27b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_100\cat_and_dog_100_bone.jpg,CAT AND DOG,60,How much do you think that the image is related to a CAT?,1
36,gemma3:12b,C:\Users\Admin\Diplom\target_dt\FLUX\manipulated_pairs\cat_and_dog_101\cat_and_dog_101_bone.jpg,CAT AND DOG,45,How much do you think that the image is related to a CAT?,1
