model,img_path,target,model_answ,question,is_num
gemma3:12b,C:\Users\Admin\Diplom\target_dt\cat_and_dog\cat_and_dog_1.jpg,CAT AND DOG,45,How much do you think that on the image a CAT?,1
mistral-small3.1:latest,C:\Users\Admin\Diplom\target_dt\cat_and_dog\cat_and_dog_1.jpg,CAT AND DOG,50,How much do you think that on the image a CAT?,1
qwen2.5vl:7b,C:\Users\Admin\Diplom\target_dt\cat_and_dog\cat_and_dog_1.jpg,CAT AND DOG,50,How much do you think that on the image a CAT?,1
mistral-small3.2:24b,C:\Users\Admin\Diplom\target_dt\cat_and_dog\cat_and_dog_1.jpg,CAT AND DOG,50,How much do you think that on the image a CAT?,1
qwen3-vl:32b,C:\Users\Admin\Diplom\target_dt\cat_and_dog\cat_and_dog_1.jpg,CAT AND DOG,100,How much do you think that on the image a CAT?,1
qwen3-vl:30b,C:\Users\Admin\Diplom\target_dt\cat_and_dog\cat_and_dog_1.jpg,CAT AND DOG,50,How much do you think that on the image a CAT?,1
blaifa/InternVL3_5:8b,C:\Users\Admin\Diplom\target_dt\cat_and_dog\cat_and_dog_1.jpg,CAT AND DOG,50,How much do you think that on the image a CAT?,1
ebdm/gemma3-enhanced:12b,C:\Users\Admin\Diplom\target_dt\cat_and_dog\cat_and_dog_1.jpg,CAT AND DOG,45,How much do you think that on the image a CAT?,1
internlm/interns1:mini,C:\Users\Admin\Diplom\target_dt\cat_and_dog\cat_and_dog_1.jpg,CAT AND DOG,50,How much do you think that on the image a CAT?,1
gemma3:latest,C:\Users\Admin\Diplom\target_dt\cat_and_dog\cat_and_dog_1.jpg,CAT AND DOG,70,How much do you think that on the image a CAT?,1
llama3.2-vision:latest,C:\Users\Admin\Diplom\target_dt\cat_and_dog\cat_and_dog_1.jpg,CAT AND DOG,0,How much do you think that on the image a CAT?,1
gemma3:27b,C:\Users\Admin\Diplom\target_dt\cat_and_dog\cat_and_dog_1.jpg,CAT AND DOG,50,How much do you think that on the image a CAT?,1
gemma3:12b,C:\Users\Admin\Diplom\target_dt\cat_and_dog\cat_and_dog_10.jpg,CAT AND DOG,45,How much do you think that on the image a CAT?,1
mistral-small3.1:latest,C:\Users\Admin\Diplom\target_dt\cat_and_dog\cat_and_dog_10.jpg,CAT AND DOG,20,How much do you think that on the image a CAT?,1
qwen2.5vl:7b,C:\Users\Admin\Diplom\target_dt\cat_and_dog\cat_and_dog_10.jpg,CAT AND DOG,10,How much do you think that on the image a CAT?,1
mistral-small3.2:24b,C:\Users\Admin\Diplom\target_dt\cat_and_dog\cat_and_dog_10.jpg,CAT AND DOG,30,How much do you think that on the image a CAT?,1
qwen3-vl:32b,C:\Users\Admin\Diplom\target_dt\cat_and_dog\cat_and_dog_10.jpg,CAT AND DOG,80,How much do you think that on the image a CAT?,1
qwen3-vl:30b,C:\Users\Admin\Diplom\target_dt\cat_and_dog\cat_and_dog_10.jpg,CAT AND DOG,50,How much do you think that on the image a CAT?,1
blaifa/InternVL3_5:8b,C:\Users\Admin\Diplom\target_dt\cat_and_dog\cat_and_dog_10.jpg,CAT AND DOG,20,How much do you think that on the image a CAT?,1
ebdm/gemma3-enhanced:12b,C:\Users\Admin\Diplom\target_dt\cat_and_dog\cat_and_dog_10.jpg,CAT AND DOG,70,How much do you think that on the image a CAT?,1
internlm/interns1:mini,C:\Users\Admin\Diplom\target_dt\cat_and_dog\cat_and_dog_10.jpg,CAT AND DOG,35,How much do you think that on the image a CAT?,1
gemma3:latest,C:\Users\Admin\Diplom\target_dt\cat_and_dog\cat_and_dog_10.jpg,CAT AND DOG,70,How much do you think that on the image a CAT?,1
llama3.2-vision:latest,C:\Users\Admin\Diplom\target_dt\cat_and_dog\cat_and_dog_10.jpg,CAT AND DOG,0,How much do you think that on the image a CAT?,1
gemma3:27b,C:\Users\Admin\Diplom\target_dt\cat_and_dog\cat_and_dog_10.jpg,CAT AND DOG,40,How much do you think that on the image a CAT?,1
gemma3:12b,C:\Users\Admin\Diplom\target_dt\cat_and_dog\cat_and_dog_100.jpg,CAT AND DOG,50,How much do you think that on the image a CAT?,1
mistral-small3.1:latest,C:\Users\Admin\Diplom\target_dt\cat_and_dog\cat_and_dog_100.jpg,CAT AND DOG,50,How much do you think that on the image a CAT?,1
qwen2.5vl:7b,C:\Users\Admin\Diplom\target_dt\cat_and_dog\cat_and_dog_100.jpg,CAT AND DOG,50,How much do you think that on the image a CAT?,1
mistral-small3.2:24b,C:\Users\Admin\Diplom\target_dt\cat_and_dog\cat_and_dog_100.jpg,CAT AND DOG,50,How much do you think that on the image a CAT?,1
qwen3-vl:32b,C:\Users\Admin\Diplom\target_dt\cat_and_dog\cat_and_dog_100.jpg,CAT AND DOG,70,How much do you think that on the image a CAT?,1
