,model,img_path,target,model_answ,question,is_num,attr_num
0,gemma3:12b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_1.jpg,CAT,1,How much do you think that the image is related to a CAT?,1,1
1,mistral-small3.1:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_1.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,1
2,qwen2.5vl:7b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_1.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,1
3,mistral-small3.2:24b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_1.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,1
4,qwen3-vl:32b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_1.jpg,CAT,10,How much do you think that the image is related to a CAT?,1,1
5,qwen3-vl:30b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_1.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,1
6,blaifa/InternVL3_5:8b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_1.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,1
7,ebdm/gemma3-enhanced:12b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_1.jpg,CAT,1,How much do you think that the image is related to a CAT?,1,1
8,internlm/interns1:mini,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_1.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,1
10,llama3.2-vision:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_1.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,1
11,gemma3:27b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_1.jpg,CAT,20,How much do you think that the image is related to a CAT?,1,1
12,gemma3:12b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_10.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,10
13,mistral-small3.1:latest,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_10.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,10
14,qwen2.5vl:7b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_10.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,10
15,mistral-small3.2:24b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_10.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,10
16,qwen3-vl:32b,C:\Users\Admin\Diplom\target_dt\cat_attributes\milk\milk_10.jpg,CAT,0,How much do you think that the image is related to a CAT?,1,10
